title,synopsis
Your Name.,"Un adolescent et une adolescente échangent de corps de manière inexplicable."
Parasite,"Une famille pauvre s'infiltre dans la vie d'une famille riche."
Old Boy,"Un homme est emprisonné pendant 15 ans sans explication et est ensuite libéré pour trouver ses ravisseurs."
Memories of Murder,"Deux détectives tentent de résoudre une série de meurtres en Corée du Sud dans les années 1980."
Train to Busan,"Des passagers luttent pour leur survie à bord d'un train infesté de zombies."
Le Bon la Brute et le Truand,"Trois hommes se lancent dans une chasse au trésor pendant la guerre civile américaine."
Il était une fois dans l'Ouest,"Un mystérieux homme armé défend une femme contre un tueur à gages."
Les Sept Samouraïs,"Sept samouraïs acceptent de défendre un village contre des bandits."
Ran,"Un seigneur de guerre vieillissant divise son empire entre ses trois fils, provoquant le chaos."
Akira,"Dans un Tokyo post-apocalyptique, un jeune homme développe des pouvoirs psychiques après un accident."
Perfect Blue,"Une chanteuse de J-pop quitte son groupe pour devenir actrice, mais est harcelée par un fan."
Spirited Away,"A young girl wanders into a mysterious world of spirits and monsters."
Millennium Actress,"Une équipe de tournage enquête sur la vie d'une actrice légendaire et excentrique."
Paprika,"Une machine permettant aux thérapeutes de pénétrer les rêves de leurs patients est volée."
Neon Genesis Evangelion: The End of Evangelion,"Le combat final de l'humanité contre les Anges et le début de l'Instrumentalité."
Cowboy Bebop: Knockin' on Heaven's Door,"Un groupe de chasseurs de primes intergalactiques traque un terroriste biologique."
Nausicaä de la Vallée du Vent,"Une princesse doit empêcher une guerre entre royaumes et la propagation d'une forêt toxique."
Le Château dans le ciel,"Un jeune orphelin et une fille dotée d'un collier magique cherchent un château flottant."
Porco Rosso,"Un pilote de hydravion transformé en cochon vit des aventures dans l'Adriatique des années 1920."
Kiki la petite sorcière,"Une jeune sorcière de 13 ans quitte sa famille pour vivre seule pendant un an."
Le Tombeau des lucioles,"Deux enfants tentent de survivre à la fin de la Seconde Guerre mondiale au Japon."
Weathering with You,"Un jeune homme fugitif rencontre une fille qui peut contrôler la météo."
Belle,"Une lycéenne timide et solitaire devient une pop star populaire dans un monde virtuel."
Spider-Man: New Generation,"Un adolescent de Brooklyn est mordu par une araignée radioactive et devient Spider-Man."
Le Loup de Wall Street,"L'ascension et la chute d'un courtier en bourse corrompu."
The Grand Budapest Hotel,"Un concierge d'hôtel excentrique et son jeune protégé sont impliqués dans un vol et un meurtre."
Whiplash,"Un jeune batteur de jazz s'efforce d'atteindre l'excellence sous la tutelle d'un professeur tyrannique."
La La Land,"Deux artistes en herbe tombent amoureux à Los Angeles tout en poursuivant leurs rêves."
Get Out,"Un jeune homme noir rencontre la famille blanche de sa petite amie, et découvre un sombre secret."
Joker,"L'histoire d'Arthur Fleck, un comédien raté qui devient un criminel redouté."
1917,"Deux jeunes soldats britanniques sont chargés de livrer un message crucial pendant la Première Guerre mondiale."
Dunkerque,"Les soldats alliés sont évacués de la plage de Dunkerque pendant la Seconde Guerre mondiale."
Le Discours d'un roi,"Le roi George VI lutte contre son bégaiement avec l'aide d'un thérapeute peu orthodoxe."
The Artist,"Un acteur de films muets voit sa carrière menacée par l'arrivée du cinéma parlant."
Slumdog Millionaire,"Un jeune homme des bidonvilles de Mumbai participe à une émission de télévision pour retrouver son amour d'enfance."
Eternal Sunshine of the Spotless Mind,"Un couple se soumet à une procédure pour effacer les souvenirs de leur relation."
Requiem for a Dream,"Quatre personnes voient leur vie détruite par la dépendance à la drogue."
American History X,"Un ancien skinhead essaie d'empêcher son jeune frère de suivre ses traces."
Seul sur Mars,"Un astronaute est laissé pour mort sur Mars et doit survivre seul."
Gravity,"Une astronaute est laissée en orbite après un accident dans l'espace."
Premier contact,"Des linguistes tentent de communiquer avec des extraterrestres qui ont atterri sur Terre."
Ex Machina,"Un jeune programmeur est invité à évaluer une intelligence artificielle féminine."
Her,"Un homme solitaire développe une relation amoureuse avec une intelligence artificielle."
Blade Runner 2049,"Un nouveau chasseur de réplicants découvre un secret qui pourrait bouleverser la société."
Mad Max: Fury Road,"Dans un monde post-apocalyptique, une femme tente de s'échapper d'un tyran avec un groupe de femmes."
Baby Driver,"Un jeune chauffeur talentueux est obligé de travailler pour un chef de gang criminel."
Scott Pilgrim vs. the World,"Un jeune homme doit vaincre les sept ex maléfiques de sa nouvelle petite amie."
Shaun of the Dead,"Un homme tente de survivre à une apocalypse zombie avec son meilleur ami."
Hot Fuzz,"Un flic de Londres est transféré dans un village tranquille où des meurtres mystérieux se produisent."
The World's End,"Cinq amis se réunissent pour une tournée des pubs qui tourne au chaos."
Drive,"Un cascadeur automobile est aussi un chauffeur pour des braqueurs la nuit."
Nightcrawler,"Un jeune homme désœuvré se fait une place dans le journalisme de faits divers nocturne."
Prisoners,"Un père désespéré prend les choses en main lorsque sa fille est enlevée."
Sicario,"Une agente du FBI est enrôlée dans une opération clandestine pour traquer un baron de la drogue."
Denis la Malice,"Un jeune garçon espiègle sème le chaos partout où il va."
Maman j'ai raté l'avion,"Un jeune garçon est accidentellement laissé seul à la maison pendant les vacances et doit défendre sa maison contre des voleurs."
E.T. l'extra-terrestre,"Un jeune garçon se lie d'amitié avec un extra-terrestre perdu et l'aide à rentrer chez lui."
Indiana Jones et les Aventuriers de l'arche perdue,"Un archéologue aventurier cherche l'Arche d'Alliance avant les nazis."
Retour vers le futur 2,"Marty McFly voyage en 2015 pour empêcher un désastre futur."
Retour vers le futur 3,"Marty McFly voyage en 1885 pour sauver Doc."
Qui veut la peau de Roger Rabbit ?,"Un détective privé humain enquête sur un complot impliquant des personnages de dessins animés."
Le Géant de fer,"Un jeune garçon se lie d'amitié avec un robot géant venu de l'espace."
Les Goonies,"Un groupe d'enfants part à la recherche d'un trésor caché pour sauver leurs maisons."
Hook ou la Revanche du Capitaine Crochet,"Peter Pan est maintenant un avocat adulte qui doit retourner au Pays Imaginaire pour sauver ses enfants."
Jumanji,"Deux enfants découvrent un jeu de société magique qui prend vie."
Mrs. Doubtfire,"Un père divorcé se déguise en femme pour passer plus de temps avec ses enfants."
Bienvenue chez les Robinsons,"Un jeune inventeur orphelin est transporté dans le futur et rencontre une famille excentrique."
Les Noces funèbres,"Un jeune homme se retrouve marié à un cadavre."
Coraline,"Une jeune fille découvre une version alternative de sa vie où tout semble parfait, mais cache un sombre secret."
L'Étrange Noël de Monsieur Jack,"Le roi des citrouilles d'Halloween Town découvre Noël."
Charlie et la Chocolaterie,"Un jeune garçon gagne un ticket d'or pour visiter une usine de chocolat excentrique."
Alice au pays des merveilles,"Une jeune fille tombe dans un terrier de lapin et se retrouve dans un monde fantastique."
Edward aux mains d'argent,"Un jeune homme inachevé avec des ciseaux à la place des mains est adopté par une famille de banlieue."
Beetlejuice,"Un couple de fantômes fait appel à un bio-exorciste pour chasser les nouveaux habitants de leur maison."
Big Fish,"Un homme essaie de comprendre la vie de son père mourant à travers ses histoires extravagantes."
Le Labyrinthe de Pan,"Une jeune fille s'échappe de la réalité de la guerre civile espagnole dans un monde de contes de fées."
